Assembly Name,Assembly Accession,Assembly Paired Assembly Accession,Organism Name,Organism Taxonomic ID,ANI Check status,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Number of Contigs,Assembly Stats Scaffold N50,Assembly Stats GC Percent,Annotation Count Gene Total,Annotation Count Gene Protein-coding
ASM4877216v1,GCF_048772165.1,GCA_048772165.1,Typha angustifolia,59011,,GCF_048772165.1-RS_2025_04,206997856,15,13732300,37.5,22228,20554
ASM5483351v1,GCA_054833515.1,,Solanum aethiopicum,205524,,,1094975577,12,93270198,36.5,,
ASM3435926v1,GCA_034359265.1,,Canna indica,4628,,Annotation submitted by Guizhou University,752924351,9,84792423,38.5,29421,29421
ASM4919127v1,GCA_049191275.1,,Rosa laevigata,74652,,,493190744,7,70289909,38.5,,
ASM5482537v1,GCA_054825375.1,,Citrullus amarus,1567104,,,381844577,11,35267811,34.5,,
ASM4647080v1,GCA_046470805.1,,Citrus x aurantium,43166,,,308630158,9,34613381,34.5,,
ASM4074193v1,GCA_040741935.1,,Eleocharis dulcis,110284,,,493271381,111,4715106,33.5,,
ASM2320587v1,GCA_023205875.1,,Chloropicon primus,1764295,,Annotation submitted by Illinois Institute of Technology,17584162,20,1118318,57.5,8683,8627
ASM4859572v1,GCA_048595725.1,,Prototheca zopfii,3112,,,25803292,55,1006082,68,,
ASM5232476v1,GCA_052324765.1,,Ormosia henryi,705300,,,3129058784,8,412619439,36,,
ASM4893263v1,GCA_048932635.1,,Oenanthe javanica,49556,,,1012110832,21,49547751,34,,
ASM3964492v1,GCA_039644925.1,,Citrullus rehmii,260675,,,413715863,11,39006483,35,,
ASM5413158v1,GCA_054131585.1,,Oresitrophe rupifraga,159960,,,662305144,17,37880696,37,,
ASM5094183v1,GCA_050941835.1,,Fraxinus mandshurica,56029,,,781404044,23,34290870,34.5,,
ASM5162231v1,GCA_051622315.1,,Acorus tatarinowii,123564,,,359362905,12,32535662,38.5,,
CerSpe_IZO01_v1.0,GCA_041154625.1,,Prunus speciosa,378228,,Annotation submitted by National Institute of Genetics,269259082,8,32028665,38,29972,29898
PCAv2.0,GCA_050084535.1,,Prunus campanulata,136465,,Annotation submitted by Zhejiang Academy of Forestry,266226404,8,31601868,38,28846,28846
ASM4771625v1,GCA_047716255.1,,Corydalis saxicola,282776,,,224638835,8,29206757,36.5,,
SMT2T_hap1,GCA_041294745.1,,Vitis vinifera x Vitis labrusca,2817680,,,486490243,19,25322459,35,,
FNU-M-1-Hap-a,GCA_040801865.1,,Salix dunnii,1413687,,,335997017,18,19223182,33.5,,
ASM4095594v1,GCA_040955945.1,,Ormosia purpureiflora,2866711,,,1583483254,8,212222348,35,,
ASM4783308v1,GCA_047833085.1,,Rosa persica,74628,,,363412948,7,50169312,38.5,,
ASM5281534v1,GCA_052815345.1,,Strongylodon macrobotrys,167626,,,557645275,14,38949380,31,,
ASM3964491v1,GCA_039644915.1,,Citrullus mucosospermus,519315,,,371154383,11,36061065,34,,
PKU_CYXGZ_1.0,GCA_051990025.1,,Rubus alceifolius,124693,,,462050512,14,33093563,37,,
ASM3964503v1,GCA_039645035.1,,Citrullus naudinianus,252528,,,364335903,11,31962384,33.5,,
WGT2T_hap2,GCA_051166835.1,,Vitis retordii,1046264,,,539303321,19,28372099,35.5,,
ASM5420709v1,GCA_054207095.1,,Spiraea chinensis,1161165,,,228113825,9,25399841,39.5,,
ASM4526945v1,GCA_045269455.1,,Morus mongolica,229049,,,341884498,14,23816835,35.5,,
ASM5368841v1,GCA_053688415.1,,Berchemiella wilsonii,325278,,,217688827,12,18029217,34,,
ASM5474119v1,GCA_054741195.1,,Tigridiopalma magnifica,1671323,,,217339795,22,11008659,40.5,,
Version 1,GCA_038396805.1,,Chloropicon roscoffensis,1461544,,Annotation submitted by Universite Laval,16820234,19,1128824,60.5,8976,8923
ASM5293502v1,GCA_052935025.1,,Puccinellia chinampoensis,428215,,Annotation submitted by Jilin Academy of Agricultu,1444064726,9,168881532,46.5,43257,43257
ASM3123210v1,GCA_031232105.1,,Capsicum rhomboideum,462292,,,1707653203,13,145987823,36.5,,
ASM5066070v1,GCA_050660705.1,,Corchoropsis sinensis,2762131,,,890105839,20,43928138,34,,
ASM4730166v1,GCA_047301665.1,,Eomecon chionantha,72185,,,368452974,9,40871011,36,,
ASM3964493v1,GCA_039644935.1,,Citrullus ecirrhosus,260672,,,402349636,11,37189666,34.5,,
ASM4129636v1,GCA_041296365.1,,Sageretia thea,72166,,,197778613,12,15864814,34.5,,
NI281-mx-bin04,GCA_965284325.1,,Aquilegia reuteri,1291455,,,4044082,1,4044082,38.5,,
ASM5094705v1,GCA_050947055.1,,Auxenochlorella protothecoides x Auxenochlorella symbiontica,3385098,,Annotation submitted by UC Berkeley,21973450,12,2134445,64,7515,7514
ASM2663629v1,GCA_026636295.1,,Medakamo hakoo,3113649,,,15638232,16,1246908,73,,
Version 1,GCA_049488355.1,,Pseudoscourfieldia marina,41886,,Annotation submitted by Universite Laval,35352578,45,819774,57,15482,15440
TAIR10.1,GCF_000001735.4,GCA_000001735.2,Arabidopsis thaliana,3702,,Annotation submitted by TAIR and Araport,119146348,100,23459830,36,38312,27562
SLM_r2.1,GCF_036512215.1,GCA_036512215.2,Solanum lycopersicum,4081,,GCF_036512215.1-RS_2024_09,832773323,178,69564429,35,41476,28611
MpTak2_v7.1,GCA_037833965.1,,Marchantia polymorpha subsp. ruderalis,1480154,,Annotation submitted by National Institute of Genetics,241484302,10,31446154,43.5,18391,18136
PB533_SCSK_HAP2,GCA_036169575.1,,Citrus reticulata,85571,,,303165851,35,30696496,34.5,,
ASM4269211v1,GCA_042692115.1,,Litchi chinensis,151069,,,534806898,125,35005816,34.5,,
AwK_v01,GCA_963924085.1,,Cenchrus americanus,4543,,,1914840079,165,283920974,49,,
ASM5199164v1,GCA_051991645.1,,Populus x canadensis,3690,,Annotation submitted by Chinese Academy of Forestry,784622062,63,21297004,33.5,74605,74605
DH1 v3.0,GCF_001625215.2,GCA_001625215.2,Daucus carota subsp. sativus,79200,,GCF_001625215.2-RS_2024_03,440713325,563,51152908,35,39086,33079
UTM_Trep_v1.0,GCA_030408175.1,,Trifolium repens,3899,,Annotation submitted by University of Toronto Mississauga,967718717,102,59895999,33.5,78174,78173
C.limon_PB_Hap2,GCA_034663535.1,,Citrus x limon,2708,,,307473079,89,35348460,35.5,,
ASM5136253v1,GCA_051362535.1,,Hippophae rhamnoides subsp. yunnanensis,193518,,,704065349,110,65240664,30,,
FCA_r2.3,GCA_042847195.1,,Ficus carica,3494,,,318315163,264,24737479,34,,
ASM5131275v1,GCA_051312755.1,,Populus tremula x Populus tremuloides,47664,,,392896791,20,21537183,34.5,,
ASM5198926v1,GCA_051989265.1,,Brassica carinata,52824,,,1039707227,882,62332559,37.5,,
ASM2264469v1,GCA_022644695.1,,Cenchrus purpureus,154765,,,2017999361,1588,144436163,47,,
Cuca_doddi_1.0,GCA_052055255.1,,Cuscuta campestris,132261,,,505398639,45,16184111,36.5,,
AARE701a,GCA_905216605.1,,Arabidopsis arenosa,38785,,Annotation submitted by MPI FOR DEVELOPMENTAL BIOLOGY,149659193,207,19161110,35.5,22630,22462
MPIPZ.v5,GCA_900128785.1,,Arabis alpina,50452,,,311642060,1637,36598175,37,,
Mxlime_USDA_v1,GCA_052148995.1,,Citrus x aurantiifolia,159033,,Annotation submitted by USDA-ARS PGEC,680593280,33,38004402,36.5,48270,48270
ASM4071231v1,GCF_040712315.1,GCA_040712315.1,Castanea sativa,21020,,GCF_040712315.1-RS_2025_07,715869006,77,59921945,35.5,39592,30866
ASM3645264v1,GCA_036452645.1,,Capsella bursa-pastoris,3719,,,330911955,37,20280264,35.5,,
ASM2550276v1,GCA_025502765.1,,Gossypium herbaceum,34274,,,1490728467,210,124037455,35,,
ASM3688567v1,GCA_036885675.1,,Vigna mungo,3915,,Annotation submitted by National Institute of Plant Genome Research,474197000,238,44113190,33.5,37994,37994
ASM4789964v1,GCA_047899645.1,,Oryza meyeriana var. indandamanica,3094834,,,789124293,13,66879100,46,,
ASM4920107v1,GCA_049201075.1,,Camellia nitidissima,147926,,,2720093003,43,188465104,38,,
ASM3044515v1,GCA_030445155.1,,Quercus variabilis,103481,,,788199556,15,64884478,35.5,,
ASM4404858v1,GCA_044048585.1,,Phyllostachys violascens,1903417,,,1920901599,65,82753344,44.5,,
ASM4789961v1,GCA_047899615.1,,Oryza alta,52545,,,909016761,159,38387894,44,,
Malus_sieversii.altA,GCA_028456135.1,,Malus sieversii,106567,,,653630470,14024,37628643,38,,
SPENNV200,GCF_001406875.1,GCA_001406875.2,Solanum pennellii,28526,,NCBI Solanum pennellii Annotation Release 101,926426464,30753,77991103,34.5,34055,26453
CavTom2PMs-1.0,GCF_901000735.1,GCA_901000735.2,Corylus avellana,13451,,GCF_901000735.1-RS_2023_09,369779143,14543,36653616,36,30909,26896
version 140606,GCF_000214015.3,GCA_000214015.2,Ostreococcus tauri,70448,,"Annotation submitted by Laboratoire Arago, France",12916858,497,770246,59.5,7833,7765
ASM5094825v1,GCA_050948255.1,,Nothapodytes nimmoniana,159386,,,3530195145,25,248744538,32.5,,
ASM4749620v1,GCA_047496205.1,,Oryza meridionalis,40149,,,410680253,16,34624000,43.5,,
ASM3246443v1,GCA_032464435.1,,Aegilops umbellulata,4491,,,4226360594,430,626841358,47,,
CPIR1,GCA_031772625.1,,Pinus tabuliformis,88731,,,24405841842,15385,1392452741,38,,
PrHapA,GCA_051938595.1,,Phlomoides rotata,572115,,Annotation submitted by Chinese Academy of Sciences (CAS),2084077216,14,197781749,38.5,37084,35857
ASM5347734v1,GCA_053477345.1,,Acer truncatum,47965,,,612250803,16,43995188,35.5,,
ASM5094758v1,GCA_050947585.1,,Wurfbainia villosa,199627,,,2728551337,154,116484485,40.5,,
Amaranthus_tuberculatus.hap1.v01,GCA_054443085.1,,Amaranthus tuberculatus,277990,,,610833668,77,37568071,35,,
ASM5062503v1,GCA_050625035.1,,Lanxangia tsao-ko,252867,,,1963770147,134,82550686,41,,
ASM5199831v1,GCA_051998315.1,,Oryza barthii,65489,,,350490725,14,28681213,43,,
ASM357666v1,GCA_003576665.1,,Ipomoea trifida,35884,,,492375559,43447,26165527,35.5,,
ASM5131405v1,GCA_051314055.1,,Agropyron cristatum,4593,,,6334424282,10583,887699901,46,,
ASM2967742v1,GCF_029677425.1,GCA_029677425.1,Wolffia australiana,161112,,GCF_029677425.1-RS_2025_12,358772296,31,18579918,41,17347,13704
Bcei,GCA_050925395.1,,Bombax ceiba,45325,,,754676480,51,16578595,33,,
ASM2841179v1,GCA_028411795.1,,Euphorbia peplus,38846,,Annotation submitted by Cornell University,267196017,30,34601726,35,25473,25473
AGM_Bkoe_4.1,GCA_025617385.1,,Murraya koenigii,159030,,,331708485,1515,38200492,35,,
O_ridleyi,GCA_047772315.1,,Oryza ridleyi,83308,,,1202805693,25,53837027,43.5,,
ASM5190342v1,GCA_051903425.1,,Crataegus pinnatifida,510735,,,809101326,35,48484520,37.5,,
ASM2550306v1,GCA_025503065.1,,Gossypium bickii,47622,,,1605310299,147,132272514,36,,
ASM5140299v1,GCA_051402995.1,,Hansenia weberbaueriana,54724,,,1607002521,143,155423847,34.5,,
NFU_Jman_1.0,GCA_022457165.1,,Juglans mandshurica,91218,,,528151479,82,35382463,36.5,,
ASM3632110v2,GCA_036321105.2,,Dracaena cambodiana,580341,,,1015265232,291,51973902,36.5,,
ASM5180246v1,GCA_051802465.1,,Apios americana,185702,,,1532055155,27,129893997,34.5,,
ASM3601399v1,GCA_036013995.1,,Theobroma grandiflorum,108881,,,423916809,13,44244169,34,,
ASM3025357v1,GCF_030253575.1,GCA_030253575.1,Rhododendron vialii,182163,,GCF_030253575.1-RS_2023_07,532733691,18,42050137,39.5,38851,30067
ASM4963958v1,GCA_049639585.1,,Salix brachista,2182728,,,401494730,20,22629168,35,,
TOH_Aalt_1.0,GCA_046736235.1,,Ailanthus altissimus,2768810,,,925321427,399,29664500,32.5,,
Saba01F-Hap-a,GCA_040801835.1,,Salix babylonica,75706,,,654326345,50,17383710,34,,
PCGL_EJ_1.0,GCA_041074935.1,,Eutrema japonicum,75806,,,794581038,112,58458533,38,,
ASM4986261v1,GCA_049862615.1,,Tinospora sinensis,152349,,,858623953,221,67199215,35,,
ASM5392509v1,GCA_053925095.1,,Brainea insignis,120713,,,8622147134,3818,265412748,41.5,,
Cteeta_hap1_1.0,GCA_052059685.1,,Coptis teeta,261448,,,882283870,554,98128514,37.5,,
BSU_IDT2_0.1,GCA_037465115.1,,Artemisia tridentata subsp. tridentata,525641,,,3593360174,7971,446362846,36,,
A.spinosa.hap1.pri1,GCA_051912245.1,,Sideroxylon spinosum,2945705,,,614616934,20,50701409,34,,
CfHapB,GCA_051225905.1,,Camellia fascicularis,147913,,Annotation submitted by Chinese Academy of Sciences (CAS),2759917483,46,186901817,38.5,43271,42328
YzHapB,GCA_052055145.1,,Magnolia zenii,86739,,,1796993628,23,86565855,40.5,,
ASM3523358v1,GCA_035233585.1,,Antiaris toxicaria,241857,,,681995200,17,89883092,35.5,,
ASM4801475v1,GCA_048014755.1,,Oryza longiglumis,83309,,,1146777264,26,51173885,43.5,,
ASM4605596v1,GCA_046055965.1,,Cinchona calisaya,153742,,Annotation submitted by Hebei University,867786681,29,59172711,33.5,41865,41865
ASM5131181v1,GCA_051311815.1,,Hoya carnosa,206227,,,464324742,16,45108671,34.5,,
ASM4856931v1,GCA_048569315.1,,Prunus mahaleb,129217,,,271763850,20,33527192,38,,
ASM3687251v1,GCA_036872515.1,,Brachypodium hybridum,1071398,,,535099749,23,32250776,46,,
ASM4498636v1,GCA_044986365.1,,Pseudocydonia sinensis,36622,,,525320469,42,32654194,37,,
ASM4963888v1,GCA_049638885.1,,Elsholtzia splendens,475396,,,264963485,19,33774087,37,,
ASM3687252v1,GCA_036872525.1,,Brachypodium stacei,1071399,,,258935550,13,26108307,45.5,,
ASM5205963v1,GCA_052059635.1,,Fragaria orientalis,101013,,,227700573,14,36339969,39,,
MguttatusvarIM767 v2.0,GCA_051175655.1,,Erythranthe tilingii,4161,,Annotation submitted by Joint Genome Institute,315381083,29,21550527,35.5,26266,26266
CTS_1.0,GCA_048569145.1,,Lindera aggregata,545644,,,1485206438,230,132620616,40,,
ASM3006302v1,GCA_030063025.1,,Avena longiglumis,4500,,,3847578604,1974,583925327,44.5,,
ASM2718624v1,GCA_027186245.1,,Coriaria nepalensis,79760,,,316591290,52,12941158,35,,
SalTr_ref_v01,GCA_047301095.1,,Salsola tragus,355937,,,1259258089,755,72893522,36,,
ASM3523562v1,GCA_035235625.1,,Saururus chinensis,54806,,,516469500,117,48440000,38,,
PBI_Zma,GCA_049640385.1,,Zoysia macrostachya,121788,,,329773341,46,19243055,44,,
ASM3628790v1,GCA_036287905.1,,Corylus americana,78632,,,350176847,129,35381848,36,,
Prkwt_v. 1.0,GCA_054094925.1,,Primula kwangtungensis,1637976,,,1289405155,1223,144871217,33,,
dhCarBetu1.hap8.1,GCA_977014995.1,,Carpinus betulus,12990,,,367232543,172,44024086,36,,
ASM2821601v1,GCA_028216015.1,,Quercus dentata,103484,,,893536971,312,75551006,35.5,,
Bnut_1.0,GCA_039639745.1,,Bertholletia excelsa,3645,,Annotation submitted by Computational Genomics Laboratory - University of Brasilia (UnB) - Brazil,599383329,367,35530340,34.5,26098,26098
SANNIO_Cham_1,GCA_055376905.1,,Chamaerops humilis,54446,,,3284184217,13652,198381983,44,,
ASM3240190v1,GCA_032401905.1,,Swietenia macrophylla,43891,,,248240892,2370,8955232,33,,
ASM4175389v1,GCA_041753895.1,,Pleuropterus angulatus,76035,,,1161988548,16,106635313,38.5,,
ASM3804969v1,GCA_038049695.1,,Cinnamomum chago,1757932,,,1060287469,13,92102069,39.5,,
Ptun,GCA_054740895.1,,Psammosilene tunicoides,39860,,,1463250424,35,103834185,35.5,,
ConSu_v01,GCA_047495845.1,,Conyza sumatrensis,212787,,,2053277671,108,75314879,35.5,,
ASM5130729v1,GCA_051307295.1,,Pterospermum kingtungense,1686260,,Annotation submitted by Chinese Academy of Sciences (CAS),1225042293,22,64990758,34.5,46531,39297
ASM4911506v1,GCA_049115065.1,,Camellia meiocarpa,479407,,,3041660526,104,206146934,39.5,,
FkHapA,GCA_042479365.1,,Firmiana kwangsiensis,1863013,,,1168271297,21,58369891,37.5,,
ConBo_ref_v01,GCA_049639985.1,,Conyza bonariensis,91242,,,1925252373,66,72829888,35.5,,
ASM3066475v1,GCA_030664755.1,,Microcos paniculata,197124,,,398891862,16,47575556,35.5,,
NBG_Mamo_1.0,GCA_050575105.1,,Magnolia amoena,86724,,,1792628598,87,86638156,40.5,,
ASM5102084v1,GCA_051020845.1,,Cercis chuniana,161752,,,344235848,18,49715743,35.5,,
ASM5104695v1,GCA_051046955.1,,Craigia yunnanensis,197121,,Annotation submitted by Chinese Academy of Sciences (CAS),1531785588,49,40970110,34.5,58225,57219
ASM3878957v1,GCA_038789575.1,,Flueggea virosa,283121,,,477454738,22,38259722,35.5,,
daSheArve1.1,GCA_948330725.1,,Sherardia arvensis,29803,,,440939310,33,43593172,38.5,,
SCH_r1.0,GCA_055397245.1,,Solanum cheesmaniae,142759,,,835549128,442,68375494,35,,
ASM4737123v1,GCA_047371235.1,,Circaeaster agrestis,39288,,,790947575,218,55285029,34.5,,
daScuGale1.1,GCA_946896805.1,,Scutellaria galericulata,53169,,,327661284,42,20504200,33.5,,
CNU_Zsg_1.0,GCA_041753855.1,,Zoysia sinica,1043351,,,312671662,74,18822270,44,,
ASM3034515v1,GCA_030345155.1,,Vitis x doaniana,884147,,,470358108,71,24244185,34.5,,
UON_DDS_1.1,GCA_050613855.1,,Dendrosicyos socotranus,229694,,,210973251,93,31913376,32.5,,
ASM804493v1,GCA_008044935.1,,Gossypium turneri,34284,,,755203240,220,60464062,33,,
ASM4986258v1,GCA_049862585.1,,Tinospora crispa,285591,,,954908384,351,75463328,35,,
ASM4848765v1,GCA_048487655.1,,Acacia melanoxylon,138028,,,711120496,158,53863251,35.5,,
ASM5117567v1,GCA_051175675.1,,Erythranthe nasuta,4158,,Annotation submitted by DOE Joint Genome Institute,312936821,101,22217870,35.5,25116,25116
AF01,GCA_025177825.1,,Aechmea fasciata,326768,,,347866674,104,14996367,39,,
ASM2354706v1,GCA_023547065.1,,Musa troglodytarum,320322,,Annotation submitted by Chinese Academy of Tropical Agricultural Sciences,603587930,1162,57742854,39.5,37577,37577
ASM5190352v1,GCA_051903525.1,,Coelastrella tenuitheca,2583439,,,80553726,21,4584372,51.5,,
ASM4900470v1,GCA_049004705.1,,Hibiscus yunnanensis,3014282,,,2213574978,1393,137054504,36.5,,
drIngLaur1.1,GCA_963855925.1,,Inga laurina,487684,,,899564773,664,69475142,35,,
ASM4193737v1,GCA_041937375.1,,Malus coronaria,106550,,,666594626,626,38723090,37.5,,
ucMarCocc1.1,GCA_963854735.1,,Marvania coccoides,133487,,,22315660,18,1767042,55,,
cbUloPhyl1.1,GCA_976338635.1,,Plenogemma phyllantha,67002,,,263689181,357,25810638,38,,
hybrid_with_Hi-C,GCA_963425845.1,,Sphenostylis stenocarpa,92480,,Annotation submitted by International Livestock Research Institute,649801261,2003,69519929,34.5,31614,30840
ASM222023v1,GCF_002220235.1,GCA_002220235.1,Bathycoccus prasinos,41875,,Annotation submitted by Genoscope,14958006,35,955652,48,7967,7900
ASM357664v1,GCF_003576645.1,GCA_003576645.1,Ipomoea triloba,35885,,NCBI Ipomoea triloba Annotation Release 100,461827428,16007,29809665,35.5,38585,30644
ASM5483346v1,GCA_054833465.1,,Solanum melongena,4111,,,1131117863,13,92745550,36,,
ASM5172464v1,GCA_051724645.1,,Hippophae neurocarpa subsp. neurocarpa,193524,,,669172335,95,62174022,30,,
SpSer_hap2_1.0,GCA_055683245.1,,Spinifex sericeus,420296,,,2039249938,18,232667679,46.5,,
ASM5099094v1,GCA_050990945.1,,Reevesia pubescens,2871442,,Annotation submitted by Chinese Academy of Sciences (CAS),1454030254,25,77732778,33,40875,39788
Stephania_hainanensis_v1.0,GCA_051529625.1,,Stephania hainanensis,152369,,,815932508,21,63582513,36.5,,
ASM5420711v1,GCA_054207115.1,,Magnolia longipedunculata,1191738,,,2160850259,87,107237806,40.5,,
ASM4919086v1,GCA_049190865.1,,Oxalis articulata,44476,,,342701015,9,50255569,36,,
VB03,GCA_965616825.1,,Victoria cruziana,4421,,"Annotation submitted by IZMB, University of Bonn",3502493924,306,299954881,38,27158,27158
GZNU_OpJapo_1.0,GCA_051401725.1,,Ophiorrhiza japonica,367363,,,549810978,24,46450834,35,,
ASM4853724v1,GCA_048537245.1,,Indocalamus tessellatus,591218,,,2851479791,462,117659304,44.5,,
ASM4526934v1,GCA_045269345.1,,Begonia fimbristipula,1406263,,,424943648,14,38222725,38,,
Spodiopogon sagittifolius,GCA_040448445.1,,Spodiopogon sagittifolius,1642874,,,815143331,46,86649210,45.5,,
ASM5008397v1,GCA_050083975.1,,Racopilum cuspidigerum,188175,,,456218696,22,51499358,36,,
ASM5129540v1,GCA_051295405.1,,Diplodiscus trichospermus,248822,,Annotation submitted by Chinese Academy of Sciences (CAS),545540621,22,27067904,32.5,34251,33126
Arabis_nem_parent_genome,GCA_976985625.1,,Arabis nemorensis,586526,,,245093670,38,30118065,36.5,,
Psco,GCA_977002725.1,,Prunus scopulorum,1813530,,,248520800,25,27813206,38,,
ASM3523658v1,GCA_035236585.1,,Warburgia ugandensis,549619,,,1122538268,112,82821776,36.5,,
Ehretia_macrophylla_alt_v1.0,GCA_037974665.1,,Ehretia macrophylla,163083,,,1580120887,170,83310942,39,,
genome_assembly,GCA_963922655.1,,Cardamine chenopodiifolia,3101730,,,596734070,33,18800768,35.5,,
NIPB_CPlaty_1.0,GCA_053455735.1,,Cajanus platycarpus,2094123,,,482290179,110,48131508,32,,
drSaxVayr1.hap1.1,GCA_977964015.1,,Saxifraga vayredana,88878,,,542591247,157,18520738,37,,
ASM561035v1,GCA_005610355.1,,Gossypioides kirkii,47615,,,538061146,287,42971368,33.5,,
A13_1,GCA_055540455.1,,Rosa gallica,74632,,,475715690,165,70971922,39,,
ASM2550665v1,GCA_025506655.1,,Gossypium rotundifolium,47633,,,2261080708,1216,186890900,36.5,,
cjScaGrac1.1,GCA_975526265.1,,Scapania gracilis,264776,,,314071455,131,33064515,43,,
ASM1334876v1,GCA_013348765.1,,Carpinus viminea,176864,,,372715291,241,42119730,35.5,,
csSphTere1.1,GCA_965649795.1,,Sphagnum teres,128249,,,397186037,211,21799379,36,,
PZIJ_v1.0,GCA_039513925.1,,Platanthera zijinensis,2320716,,Annotation submitted by Fujian Agriculture and Forestry University,4186550321,3416,192346260,43.5,24377,24377
csSphRipa1.1,GCA_965644045.1,,Sphagnum riparium,231131,,,379005135,363,20882329,36,,
ASM2365750v1,GCA_023657505.1,,Camelina hispida,883000,,,283170699,464,41585911,37,,
MenthaSuaveolens85_v8,GCA_041501505.1,,Mentha suaveolens,38860,,,526384650,1186,44690459,36.5,,
ASM5140175v1,GCA_051401755.1,,Cereus jamacaru,1574107,,,1472447148,3485,144157677,35.5,,
cbTriLitt2.1,GCA_977013545.1,,Trichostomum littorale,2909329,,,271058753,686,19064650,38,,
cbLewRupe4.1,GCA_976985105.1,,Lewinskya rupestris,478074,,,267087206,717,41589731,38.5,,
